order_id,customer_id,amt
1,46,219
2,11,90
3,41,120
4,41,311
5,19,128
6,29,272
7,25,145
8,1,430
9,20,165
10,49,320
11,21,386
12,19,405
13,25,489
14,17,135
15,46,448
16,37,451
17,9,296
18,49,16
19,39,218
20,40,345
21,16,403
22,22,397
23,36,300
24,17,465
25,17,248
26,35,129
27,12,350
28,32,414
29,3,180
30,44,343
31,14,317
32,14,152
33,22,325
34,10,371
35,32,404
36,9,350
37,11,320
38,9,116
39,45,162
40,42,227
41,20,240
42,49,151
43,27,445
44,23,356
45,10,305
46,41,253
47,25,350
48,45,366
49,12,59
50,48,86
51,18,342
52,49,124
53,1,91
54,39,179
55,39,413
56,28,18
57,22,332
58,44,233
59,8,91
60,4,290
61,40,294
62,45,289
63,27,340
64,16,212
65,27,295
66,21,276
67,48,215
68,31,263
69,39,275
70,35,108
71,22,455
72,21,218
73,47,338
74,10,300
75,15,357
76,28,480
77,28,304
78,40,34
79,29,357
80,46,389
81,18,205
82,7,115
83,23,180
84,23,263
85,32,39
86,35,27
87,1,210
88,40,385
89,26,473
90,26,17
91,10,247
92,36,417
93,1,436
94,21,316
95,42,436
96,14,287
97,35,343
98,12,118
99,12,216
100,24,130
101,31,120
102,23,375
103,6,198
104,34,90
105,5,480
106,14,25
107,42,100
108,45,409
109,20,276
110,1,80
111,42,233
112,5,88
113,43,402
114,22,295
115,27,351
116,11,72
117,36,295
118,4,174
119,45,45
120,12,70
121,7,371
122,39,260
123,41,268
124,17,135
125,10,458
126,22,472
127,46,286
128,26,496
129,39,335
130,31,325
131,44,407
132,23,81
133,46,181
134,33,14
135,44,433
136,19,393
137,27,495
138,38,220
139,9,289
140,25,283
141,40,463
142,14,13
143,33,424
144,32,252
145,8,371
146,23,66
147,21,69
148,46,161
149,3,409
150,39,274
151,14,201
152,4,291
153,30,127
154,49,120
155,7,139
156,45,290
157,12,404
158,36,222
159,32,31
160,29,294
161,34,136
162,42,115
163,48,54
164,46,210
165,43,273
166,18,353
167,30,388
168,10,163
169,13,319
170,47,412
171,3,455
172,48,54
173,47,178
174,28,403
175,9,245
176,17,256
177,20,217
178,14,423
179,17,354
180,17,369
181,34,86
182,43,33
183,11,431
184,3,448
185,25,476
186,29,96
187,20,168
188,21,301
189,4,264
190,43,288
191,36,179
192,13,298
193,25,60
194,44,260
195,6,67
196,23,482
197,32,225
198,47,231
199,29,286
200,11,86
201,48,419
202,29,413
203,42,436
204,3,17
205,18,431
206,12,125
207,32,295
208,39,88
209,48,284
210,12,486
211,48,88
212,37,170
213,7,200
214,33,432
215,33,118
216,33,386
217,24,410
218,23,89
219,40,446
220,43,478
221,43,394
222,1,155
223,5,306
224,47,426
225,44,214
226,48,453
227,43,103
228,7,330
229,2,273
230,5,275
231,10,419
232,2,78
233,20,96
234,27,380
235,9,418
236,39,302
237,12,169
238,24,115
239,27,157
240,46,217
241,39,451
242,2,417
243,22,258
244,15,445
245,3,299
246,13,46
247,5,335
248,7,446
249,37,258
250,24,187
251,10,476
252,5,82
253,47,77
254,6,363
255,42,183
256,6,114
257,13,171
258,27,104
259,19,69
260,47,91
261,39,198
262,32,268
263,5,124
264,10,489
265,42,16
266,4,44
267,23,135
268,11,83
269,43,89
270,5,181
271,34,235
272,14,425
273,34,391
274,8,155
275,15,367
276,29,344
277,8,455
278,36,392
279,31,312
280,16,10
281,11,141
282,31,125
283,32,79
284,30,376
285,38,426
286,33,240
287,15,146
288,8,53
289,12,108
290,19,415
291,27,360
292,33,197
293,39,33
294,1,76
295,35,205
296,34,197
297,36,343
298,42,329
299,1,32
300,11,167
301,32,434
302,2,174
303,21,412
304,32,440
305,5,228
306,36,25
307,31,146
308,23,395
309,26,157
310,20,81
311,37,268
312,6,332
313,43,302
314,11,372
315,17,265
316,9,403
317,32,82
318,12,419
319,5,217
320,16,114
321,31,263
322,18,430
323,23,71
324,27,268
325,35,155
326,8,353
327,35,138
328,20,430
329,46,220
330,11,148
331,40,42
332,46,441
333,17,324
334,30,242
335,2,230
336,26,129
337,25,299
338,29,75
339,29,418
340,20,305
341,11,455
342,28,56
343,42,478
344,22,270
345,20,87
346,27,222
347,29,426
348,24,247
349,22,280
350,19,289
351,12,52
352,14,484
353,25,393
354,15,201
355,11,313
356,8,360
357,5,417
358,36,157
359,16,281
360,9,83
361,27,451
362,46,217
363,47,360
364,28,468
365,33,452
366,24,246
367,21,498
368,6,333
369,4,104
370,36,377
371,10,446
372,25,257
373,6,233
374,43,407
375,31,401
376,24,248
377,42,164
378,13,454
379,27,70
380,13,308
381,7,350
382,16,121
383,14,227
384,6,58
385,12,300
386,13,30
387,11,309
388,36,274
389,19,223
390,7,414
391,49,253
392,11,418
393,39,280
394,19,403
395,18,322
396,30,460
397,27,73
398,29,50
399,21,297
400,29,63
401,33,100
402,22,110
403,17,25
404,35,244
405,20,32
406,28,307
407,6,50
408,15,268
409,31,188
410,2,223
411,28,405
412,12,408
413,49,389
414,11,315
415,14,245
416,25,156
417,16,253
418,26,275
419,5,436
420,42,148
421,29,360
422,26,458
423,26,99
424,35,235
425,29,403
426,25,72
427,48,398
428,7,207
429,29,240
430,36,217
431,37,405
432,7,66
433,35,118
434,3,391
435,23,105
436,22,168
437,41,387
438,10,125
439,29,123
440,2,308
441,7,280
442,42,201
443,43,361
444,48,435
445,46,89
446,33,80
447,13,40
448,44,498
449,34,200
450,2,232
451,38,288
452,11,300
453,25,66
454,7,83
455,27,280
456,39,212
457,13,137
458,28,415
459,46,395
460,34,453
461,32,194
462,7,232
463,33,207
464,36,475
465,31,484
466,20,432
467,24,443
468,37,46
469,5,496
470,45,297
471,36,141
472,23,81
473,33,497
474,28,70
475,7,235
476,49,166
477,28,406
478,31,205
479,11,263
480,37,359
481,39,448
482,17,209
483,48,442
484,29,385
485,14,151
486,14,284
487,18,319
488,7,454
489,27,133
490,47,93
491,18,282
492,12,246
493,22,102
494,27,37
495,33,494
496,42,429
497,40,10
498,45,371
499,3,490
500,12,376
501,33,488
502,40,12
503,40,69
504,2,356
505,9,116
506,10,121
507,14,74
508,4,93
509,21,20
510,5,213
511,45,274
512,4,111
513,23,120
514,7,76
515,34,409
516,26,340
517,13,309
518,15,465
519,36,327
520,4,239
521,7,239
522,11,297
523,3,336
524,44,138
525,21,308
526,29,284
527,36,346
528,15,331
529,39,343
530,29,494
531,1,41
532,19,124
533,39,54
534,8,371
535,36,125
536,18,329
537,2,436
538,15,61
539,49,243
540,1,70
541,8,229
542,29,281
543,45,35
544,31,175
545,12,261
546,24,21
547,11,215
548,38,417
549,20,411
550,26,422
551,34,413
552,43,182
553,38,492
554,22,200
555,34,201
556,48,211
557,6,314
558,13,26
559,45,332
560,4,247
561,33,433
562,49,378
563,48,295
564,34,31
565,35,19
566,35,251
567,22,79
568,24,268
569,48,328
570,27,212
571,37,465
572,25,433
573,34,312
574,12,368
575,28,95
576,47,199
577,20,406
578,26,71
579,49,358
580,42,199
581,11,46
582,31,399
583,43,119
584,14,61
585,49,360
586,43,137
587,45,21
588,1,330
589,7,254
590,40,97
591,10,28
592,46,57
593,11,476
594,10,386
595,21,470
596,40,295
597,27,40
598,43,494
599,17,300
600,11,421
601,12,222
602,5,266
603,28,93
604,31,262
605,40,216
606,4,34
607,44,165
608,49,62
609,19,134
610,2,324
611,9,293
612,36,27
613,15,241
614,39,325
615,49,99
616,28,241
617,40,245
618,27,83
619,46,361
620,31,307
621,44,355
622,18,368
623,22,86
624,17,463
625,35,498
626,33,135
627,17,73
628,37,260
629,18,453
630,11,385
631,48,348
632,46,332
633,45,125
634,48,434
635,24,498
636,46,298
637,33,464
638,22,491
639,24,284
640,23,52
641,25,12
642,21,157
643,8,45
644,17,99
645,26,237
646,25,187
647,17,323
648,33,477
649,30,433
650,28,467
651,36,456
652,4,357
653,17,279
654,12,130
655,14,196
656,46,415
657,8,482
658,14,377
659,41,312
660,3,366
661,34,234
662,6,144
663,7,449
664,6,267
665,21,136
666,32,107
667,46,275
668,18,138
669,38,384
670,43,175
671,46,324
672,49,377
673,31,486
674,16,158
675,5,426
676,16,160
677,38,129
678,5,228
679,18,316
680,15,167
681,15,344
682,25,273
683,11,356
684,32,458
685,6,340
686,31,60
687,19,204
688,47,61
689,47,62
690,19,254
691,41,151
692,24,132
693,41,29
694,6,336
695,12,341
696,20,233
697,46,241
698,9,292
699,1,204
700,11,367
701,24,125
702,27,63
703,29,245
704,29,489
705,46,436
706,35,289
707,16,387
708,23,335
709,19,202
710,46,29
711,26,364
712,32,302
713,24,172
714,22,180
715,8,417
716,29,184
717,40,126
718,13,300
719,23,322
720,13,356
721,27,272
722,29,241
723,4,485
724,47,362
725,13,278
726,37,469
727,1,397
728,40,403
729,34,459
730,41,76
731,2,229
732,7,296
733,34,47
734,4,256
735,13,269
736,6,386
737,13,262
738,4,486
739,12,270
740,30,168
741,2,417
742,49,270
743,13,255
744,1,103
745,32,347
746,3,113
747,1,419
748,4,128
749,35,330
750,25,214
751,28,498
752,39,186
753,31,215
754,12,322
755,2,31
756,35,425
757,30,292
758,48,173
759,8,201
760,4,386
761,31,349
762,13,51
763,40,198
764,20,362
765,43,355
766,34,328
767,29,119
768,40,244
769,1,68
770,40,386
771,17,273
772,40,134
773,10,249
774,25,309
775,17,490
776,36,156
777,43,483
778,11,476
779,31,342
780,38,417
781,38,488
782,35,229
783,23,157
784,21,95
785,29,318
786,27,248
787,46,244
788,14,453
789,45,354
790,1,169
791,28,77
792,16,469
793,25,252
794,41,214
795,35,281
796,14,222
797,17,207
798,10,100
799,48,156
800,39,406
801,37,84
802,28,178
803,46,10
804,3,19
805,14,26
806,20,461
807,31,110
808,9,247
809,19,80
810,24,466
811,18,392
812,42,152
813,36,449
814,18,107
815,24,443
816,32,219
817,28,141
818,17,469
819,17,266
820,11,141
821,40,20
822,47,273
823,46,169
824,18,98
825,16,439
826,7,363
827,49,391
828,31,310
829,37,212
830,27,415
831,15,130
832,16,290
833,19,277
834,18,90
835,14,110
836,6,108
837,32,247
838,43,211
839,12,452
840,11,291
841,28,226
842,19,283
843,17,355
844,34,26
845,25,404
846,43,415
847,6,184
848,9,427
849,14,470
850,32,347
851,38,375
852,40,451
853,19,127
854,42,449
855,38,135
856,44,435
857,26,165
858,25,204
859,42,484
860,11,140
861,18,431
862,30,13
863,25,364
864,31,270
865,35,277
866,48,320
867,41,311
868,43,186
869,20,465
870,9,12
871,1,25
872,44,380
873,1,386
874,2,428
875,9,495
876,10,36
877,44,336
878,49,396
879,39,178
880,17,359
881,37,428
882,11,41
883,24,308
884,38,348
885,28,329
886,31,386
887,29,274
888,2,215
889,30,445
890,9,180
891,13,74
892,36,473
893,10,184
894,22,234
895,35,171
896,44,393
897,10,468
898,6,445
899,28,323
900,20,61
901,32,252
902,8,331
903,28,89
904,10,212
905,10,119
906,18,425
907,36,252
908,44,117
909,43,153
910,46,485
911,48,164
912,19,449
913,34,103
914,45,292
915,25,421
916,11,59
917,1,434
918,11,325
919,6,13
920,34,311
921,6,200
922,44,301
923,20,236
924,36,290
925,15,104
926,17,355
927,32,467
928,30,123
929,23,250
930,45,425
931,37,270
932,31,373
933,5,199
934,27,356
935,15,156
936,24,302
937,19,331
938,45,57
939,37,72
940,49,208
941,21,349
942,2,323
943,24,215
944,47,383
945,44,414
946,18,452
947,4,145
948,16,433
949,1,204
950,4,357
951,10,368
952,19,444
953,6,14
954,31,36
955,18,269
956,41,330
957,24,459
958,26,391
959,38,360
960,25,168
961,3,183
962,1,36
963,47,61
964,5,428
965,41,407
966,19,154
967,6,430
968,22,353
969,42,79
970,19,228
971,33,388
972,3,10
973,18,490
974,4,215
975,18,25
976,34,116
977,25,484
978,18,339
979,37,357
980,49,391
981,30,273
