category_id,category_name,department
1,Category_1,Sports & Fitness
2,Category_2,Office Supplies
3,Category_3,Apparel & Fashion
4,Category_4,Office Supplies
5,Category_5,Office Supplies
6,Category_6,Home & Living
7,Category_7,Apparel & Fashion
8,Category_8,Apparel & Fashion
9,Category_9,Apparel & Fashion
10,Category_10,Office Supplies
11,Category_11,Sports & Fitness
12,Category_12,Apparel & Fashion
13,Category_13,Office Supplies
14,Category_14,Home & Living
15,Category_15,Sports & Fitness
16,Category_16,Home & Living
17,Category_17,Sports & Fitness
18,Category_18,Office Supplies
19,Category_19,Technology
20,Category_20,Sports & Fitness
21,Category_21,Home & Living
22,Category_22,Office Supplies
23,Category_23,Sports & Fitness
24,Category_24,Technology
25,Category_25,Technology
