item_id,order_id,product_id,quantity,discount
100001,11887,555,4,0.1
100002,10311,599,4,0.2
100003,12569,163,3,0.05
100004,11605,407,2,0.15
100005,15660,492,4,0.15
100006,13983,357,5,0.1
100007,10369,348,3,0.2
100008,13547,364,5,0.15
100009,14842,567,3,0.1
100010,15352,437,1,0.15
100011,10998,461,4,0.15
100012,10497,600,1,0.0
100013,15686,539,4,0.1
100014,10964,468,5,0.15
100015,12005,493,5,0.1
100016,11199,279,2,0.0
100017,12346,500,5,0.1
100018,15911,537,3,0.0
100019,15485,415,2,0.15
100020,15206,401,3,0.15
100021,10577,599,2,0.15
100022,13161,265,3,0.0
100023,10054,191,2,0.05
100024,13433,422,4,0.0
100025,10229,292,4,0.0
100026,10779,392,2,0.2
100027,15654,176,1,0.15
100028,13831,406,2,0.15
100029,10985,199,1,0.2
100030,14469,195,3,0.05
100031,10469,281,2,0.1
100032,12468,541,1,0.15
100033,11850,503,2,0.15
100034,10532,254,4,0.0
100035,15520,474,4,0.05
100036,13036,456,2,0.05
100037,15304,424,2,0.05
100038,10562,212,5,0.05
100039,10090,271,4,0.2
100040,15736,353,3,0.0
100041,11407,483,2,0.2
100042,14465,451,5,0.2
100043,13146,222,2,0.1
100044,11293,542,4,0.0
100045,14111,305,1,0.05
100046,13782,345,1,0.0
100047,14068,227,4,0.05
100048,13506,591,3,0.1
100049,12392,459,5,0.15
100050,11219,415,2,0.2
100051,11946,146,2,0.1
100052,15156,552,2,0.2
100053,15013,396,5,0.05
100054,12253,336,5,0.05
100055,13892,241,4,0.1
100056,11675,221,5,0.15
100057,10776,461,2,0.15
100058,15177,109,2,0.2
100059,15230,166,5,0.05
100060,14782,583,5,0.05
100061,13568,409,4,0.15
100062,12766,560,1,0.05
100063,10225,181,5,0.05
100064,10064,360,1,0.1
100065,11788,482,3,0.15
100066,15057,498,1,0.15
100067,13851,569,5,0.0
100068,11376,205,2,0.15
100069,13535,492,2,0.15
100070,13916,197,5,0.0
100071,14453,290,4,0.05
100072,10093,529,5,0.05
100073,12743,448,5,0.2
100074,15420,295,4,0.05
100075,15614,546,4,0.15
100076,11678,434,3,0.2
100077,13667,183,3,0.2
100078,15509,351,3,0.05
100079,15731,170,4,0.2
100080,13865,392,1,0.0
100081,12482,440,5,0.2
100082,15222,485,3,0.1
100083,14937,288,1,0.0
100084,11402,558,5,0.15
100085,11607,241,1,0.05
100086,13957,240,2,0.05
100087,13410,175,2,0.1
100088,13072,200,5,0.05
100089,10898,245,1,0.15
100090,12932,275,1,0.2
100091,14588,409,4,0.05
100092,13714,321,3,0.15
100093,13132,423,5,0.0
100094,11533,577,1,0.15
100095,11978,110,3,0.1
100096,11799,146,5,0.15
100097,15591,439,1,0.05
100098,11352,217,2,0.2
100099,15217,104,1,0.15
100100,11839,413,2,0.1
100101,12561,338,2,0.0
100102,12992,394,4,0.1
100103,11664,496,4,0.0
100104,12398,131,3,0.15
100105,13204,230,5,0.2
100106,14642,341,3,0.1
100107,10599,485,4,0.2
100108,12045,181,3,0.15
100109,10259,125,5,0.2
100110,14572,361,5,0.2
100111,11906,148,1,0.1
100112,13020,498,3,0.15
100113,15016,152,4,0.2
100114,10388,430,1,0.0
100115,13870,249,3,0.05
100116,11862,509,5,0.0
100117,13633,199,4,0.2
100118,10798,167,3,0.15
100119,12504,310,5,0.0
100120,15714,348,5,0.15
100121,14021,219,3,0.0
100122,11926,534,3,0.15
100123,15912,328,4,0.2
100124,13955,203,1,0.1
100125,11628,389,5,0.0
100126,14313,340,1,0.15
100127,10789,501,1,0.0
100128,15640,332,5,0.15
100129,12057,554,3,0.15
100130,11064,390,5,0.1
100131,15761,254,1,0.15
100132,14469,270,4,0.0
100133,15066,259,5,0.2
100134,15786,213,4,0.05
100135,11448,151,3,0.15
100136,10515,576,3,0.05
100137,14460,136,4,0.2
100138,11914,113,4,0.05
100139,11952,441,5,0.15
100140,15571,318,3,0.0
100141,15636,343,4,0.1
100142,10774,323,2,0.15
100143,10329,308,5,0.15
100144,10794,579,5,0.1
100145,10962,369,2,0.1
100146,14693,322,3,0.1
100147,15974,388,4,0.1
100148,11411,489,4,0.1
100149,11138,112,3,0.15
100150,14667,587,2,0.05
100151,15158,287,2,0.0
100152,11569,269,2,0.15
100153,14473,393,5,0.2
100154,13275,424,4,0.15
100155,13274,206,1,0.15
100156,13470,276,5,0.05
100157,15933,527,5,0.1
100158,11964,449,4,0.2
100159,12166,141,3,0.05
100160,15363,412,4,0.0
100161,14637,425,3,0.2
100162,15347,349,4,0.2
100163,13573,367,5,0.05
100164,11876,322,2,0.2
100165,11237,493,5,0.15
100166,12747,213,5,0.15
100167,14209,384,1,0.1
100168,14469,378,5,0.05
100169,12347,303,5,0.15
100170,15793,441,5,0.2
100171,11043,362,1,0.2
100172,14872,382,3,0.15
100173,14767,244,1,0.05
100174,14107,343,2,0.05
100175,10008,370,3,0.0
100176,13697,135,1,0.05
100177,13732,398,2,0.15
100178,11574,153,2,0.0
100179,15493,456,4,0.2
100180,10461,250,4,0.15
100181,13307,537,5,0.1
100182,12303,550,3,0.1
100183,12634,113,1,0.05
100184,11352,367,5,0.0
100185,10362,496,3,0.0
100186,15494,197,4,0.2
100187,10788,186,1,0.05
100188,10209,409,2,0.0
100189,10267,365,2,0.15
100190,14752,592,5,0.2
100191,15093,171,5,0.0
100192,10554,117,1,0.1
100193,15626,289,2,0.1
100194,11588,110,5,0.0
100195,14517,266,2,0.1
100196,15539,479,4,0.15
100197,11119,139,5,0.2
100198,11514,599,3,0.15
100199,11927,466,5,0.1
100200,15145,445,4,0.0
100201,15352,319,1,0.0
100202,13404,194,2,0.2
100203,13062,258,1,0.1
100204,10221,463,5,0.1
100205,12345,134,3,0.1
100206,15323,389,1,0.05
100207,11972,516,3,0.0
100208,14439,590,5,0.1
100209,14689,112,3,0.2
100210,15325,333,3,0.05
100211,14065,187,4,0.1
100212,11985,193,1,0.0
100213,10892,207,5,0.05
100214,15670,293,4,0.15
100215,14803,568,3,0.2
100216,15162,110,4,0.0
100217,13527,225,4,0.15
100218,11206,375,3,0.0
100219,14853,379,5,0.2
100220,11219,228,2,0.1
100221,11856,441,4,0.15
100222,12000,285,1,0.15
100223,12436,463,3,0.05
100224,12975,455,2,0.1
100225,13099,159,4,0.2
100226,13387,596,3,0.05
100227,15441,580,3,0.15
100228,14544,282,4,0.0
100229,11817,174,1,0.2
100230,11778,102,3,0.05
100231,12505,343,3,0.1
100232,12940,328,4,0.0
100233,10839,148,2,0.05
100234,12702,106,3,0.2
100235,15726,143,3,0.0
100236,14760,245,4,0.05
100237,14861,227,3,0.05
100238,13139,435,4,0.2
100239,10176,346,1,0.1
100240,14606,520,4,0.0
100241,13687,508,2,0.05
100242,13163,221,3,0.2
100243,12753,332,1,0.05
100244,11190,476,3,0.2
100245,14698,289,3,0.2
100246,10838,385,4,0.05
100247,13899,342,3,0.2
100248,15098,178,1,0.0
100249,13852,158,5,0.2
100250,12734,550,3,0.1
100251,13811,596,4,0.1
100252,15207,570,2,0.2
100253,12654,595,3,0.0
100254,13251,281,4,0.15
100255,13350,170,3,0.15
100256,13311,365,5,0.0
100257,14681,304,5,0.1
100258,12387,270,1,0.2
100259,15192,395,5,0.05
100260,10374,553,4,0.2
100261,14676,478,5,0.2
100262,14613,347,4,0.15
100263,11262,524,3,0.2
100264,10121,159,1,0.15
100265,15533,400,1,0.05
100266,15843,421,5,0.2
100267,13846,558,2,0.0
100268,12885,111,5,0.2
100269,12618,447,2,0.0
100270,14139,571,5,0.15
100271,15624,440,4,0.2
100272,13269,105,4,0.15
100273,12043,305,2,0.0
100274,12120,470,1,0.15
100275,10491,558,2,0.1
100276,15946,345,3,0.0
100277,14845,349,1,0.15
100278,13046,533,2,0.2
100279,10383,535,3,0.15
100280,10805,520,3,0.05
100281,15586,205,5,0.0
100282,11178,342,2,0.15
100283,12218,372,4,0.1
100284,11296,107,5,0.05
100285,10918,324,1,0.0
100286,14247,317,4,0.05
100287,14527,144,3,0.2
100288,12415,126,1,0.1
100289,10651,392,5,0.2
100290,14916,281,3,0.15
100291,12287,192,3,0.05
100292,12752,528,3,0.2
100293,13199,368,4,0.15
100294,10942,446,5,0.1
100295,10541,168,5,0.2
100296,12681,464,4,0.05
100297,15806,251,5,0.2
100298,13728,204,3,0.1
100299,12530,188,3,0.15
100300,11203,195,3,0.2
100301,14965,482,5,0.2
100302,10651,386,2,0.0
100303,13007,419,1,0.15
100304,14533,103,2,0.0
100305,15885,308,4,0.0
100306,12905,518,2,0.1
100307,10314,202,2,0.1
100308,14115,448,4,0.05
100309,11184,277,2,0.15
100310,14914,528,1,0.15
100311,10122,525,5,0.1
100312,15175,404,4,0.1
100313,10169,299,2,0.0
100314,13683,108,3,0.1
100315,15269,491,3,0.2
100316,14725,345,4,0.15
100317,14122,393,3,0.05
100318,15368,539,1,0.0
100319,13969,427,2,0.2
100320,14018,278,1,0.1
100321,13698,182,1,0.05
100322,11730,212,5,0.1
100323,13556,459,2,0.2
100324,15953,121,4,0.05
100325,15130,134,3,0.1
100326,11119,355,5,0.2
100327,12169,533,1,0.2
100328,14222,127,3,0.05
100329,15189,108,2,0.2
100330,14782,518,1,0.1
100331,15069,118,1,0.05
100332,13117,535,2,0.0
100333,14731,600,4,0.2
100334,12430,333,5,0.1
100335,12008,496,2,0.05
100336,11051,570,3,0.0
100337,10705,407,3,0.0
100338,12900,291,1,0.15
100339,13208,524,5,0.15
100340,10707,250,4,0.05
100341,15728,492,4,0.2
100342,13833,590,3,0.1
100343,12009,256,4,0.2
100344,14722,534,3,0.1
100345,14622,147,5,0.1
100346,11598,412,1,0.15
100347,11067,516,3,0.15
100348,11947,239,5,0.2
100349,12800,505,3,0.05
100350,10096,510,2,0.1
100351,12075,242,3,0.15
100352,14932,435,5,0.05
100353,11919,114,4,0.15
100354,11266,560,3,0.1
100355,12535,456,1,0.0
100356,10240,359,5,0.15
100357,11328,336,4,0.05
100358,11143,541,5,0.2
100359,13224,478,3,0.2
100360,13849,107,2,0.1
100361,11416,139,2,0.0
100362,12399,285,1,0.15
100363,10761,215,1,0.15
100364,13643,210,4,0.0
100365,11553,165,2,0.1
100366,10863,331,3,0.1
100367,14036,381,5,0.05
100368,11156,131,5,0.05
100369,10357,186,2,0.05
100370,11672,238,2,0.1
100371,11329,566,5,0.15
100372,11030,177,4,0.2
100373,12377,556,5,0.1
100374,13242,237,1,0.0
100375,11992,222,3,0.2
100376,13872,563,2,0.1
100377,12386,364,2,0.1
100378,13141,197,4,0.05
100379,10882,583,1,0.15
100380,10539,119,5,0.15
100381,14833,386,1,0.2
100382,11858,109,1,0.1
100383,15627,183,4,0.05
100384,15866,147,4,0.0
100385,13558,530,5,0.1
100386,14539,190,5,0.05
100387,15020,101,3,0.0
100388,12197,487,1,0.0
100389,11951,262,5,0.2
100390,11611,253,4,0.15
100391,15938,514,3,0.15
100392,13164,101,3,0.2
100393,14464,479,4,0.1
100394,14008,246,5,0.05
100395,14676,261,4,0.15
100396,15867,493,5,0.2
100397,14752,235,4,0.15
100398,10227,386,4,0.15
100399,15055,177,2,0.15
100400,10592,181,5,0.1
100401,14120,369,1,0.2
100402,15859,369,2,0.15
100403,12076,142,2,0.15
100404,15610,224,2,0.2
100405,14949,330,2,0.0
100406,12672,457,1,0.1
100407,11369,302,2,0.1
100408,12023,434,1,0.05
100409,12079,547,1,0.05
100410,15775,207,2,0.0
100411,13951,553,3,0.05
100412,13882,392,1,0.15
100413,13322,391,2,0.15
100414,14146,274,4,0.05
