order_id,customer_id,order_date,status,shipping_cost
10001,1848,2024-06-11,Delivered,75.26
10002,1442,2024-06-21,Delivered,59.95
10003,1503,2024-05-20,Shipped,42.68
10004,1130,2024-05-17,Cancelled,94.9
10005,2156,2024-03-06,Delivered,70.8
10006,1597,2024-07-16,Delivered,22.11
10007,2959,2024-11-23,Delivered,53.67
10008,2506,2024-08-15,Shipped,107.92
10009,1862,2024-10-07,Shipped,94.3
10010,2414,2024-06-20,Delivered,48.94
10011,1593,2024-11-11,Cancelled,113.51
10012,1999,2024-02-09,Delivered,23.04
10013,1325,2024-01-07,Pending,115.93
10014,2093,2024-06-22,Cancelled,40.8
10015,2684,2024-05-30,Shipped,15.95
10016,1448,2024-07-29,Delivered,60.55
10017,2552,2024-10-28,Delivered,52.69
10018,1819,2024-03-26,Delivered,71.6
10019,2641,2024-09-09,Delivered,98.66
10020,2189,2024-01-21,Pending,103.46
10021,2512,2024-09-13,Delivered,57.13
10022,2737,2024-02-02,Delivered,60.13
10023,1709,2024-09-16,Shipped,30.56
10024,2450,2024-08-21,Delivered,19.99
10025,2721,2024-01-03,Delivered,82.33
10026,2858,2024-12-12,Delivered,21.77
10027,1265,2024-11-03,Delivered,92.05
10028,2899,2024-08-14,Delivered,71.6
10029,1612,2024-10-10,Pending,35.85
10030,2366,2024-03-10,Delivered,71.65
10031,1832,2024-11-08,Pending,34.21
10032,2750,2024-12-29,Delivered,61.07
10033,2302,2024-09-10,Delivered,98.95
10034,1674,2024-05-23,Delivered,63.5
10035,2463,2024-01-24,Delivered,30.61
10036,1157,2024-08-21,Delivered,91.0
10037,2446,2024-11-28,Delivered,34.61
10038,1251,2024-06-23,Delivered,92.55
10039,1878,2024-11-27,Delivered,65.33
10040,2633,2024-11-20,Delivered,62.64
10041,1530,2024-12-22,Delivered,104.4
10042,1327,2024-06-07,Shipped,89.4
10043,1961,2024-12-13,Pending,18.46
10044,1895,2024-12-13,Delivered,46.1
10045,1097,2024-10-12,Delivered,106.45
10046,1513,2024-01-18,Cancelled,16.92
10047,1216,2024-02-13,Delivered,72.25
10048,2156,2024-06-03,Cancelled,91.42
10049,2284,2024-12-20,Delivered,80.29
10050,1125,2024-08-18,Pending,94.86
10051,2106,2024-11-11,Delivered,91.2
10052,2307,2024-08-12,Pending,87.66
10053,2707,2024-08-04,Delivered,101.26
10054,1059,2024-02-25,Delivered,82.8
10055,2568,2024-01-31,Delivered,57.25
10056,1161,2024-12-22,Delivered,64.55
10057,1284,2024-02-28,Shipped,90.26
10058,1106,2024-12-18,Delivered,107.01
10059,2129,2024-08-22,Pending,43.58
10060,2463,2024-04-16,Delivered,50.92
10061,1228,2024-07-09,Pending,112.73
10062,2724,2024-01-18,Delivered,75.74
10063,2606,2024-08-13,Cancelled,33.79
10064,1318,2024-06-15,Cancelled,84.69
10065,2488,2024-03-11,Delivered,119.03
10066,1802,2024-12-27,Pending,101.46
10067,2623,2024-02-23,Shipped,93.3
10068,2906,2024-09-01,Delivered,36.84
10069,1874,2024-12-15,Delivered,106.99
10070,1472,2024-03-16,Delivered,70.21
10071,2080,2024-02-04,Shipped,108.38
10072,1625,2024-09-23,Delivered,49.63
10073,1013,2024-11-12,Delivered,21.52
10074,2464,2024-10-26,Delivered,64.98
10075,2042,2024-04-30,Delivered,43.33
10076,1694,2024-11-19,Pending,90.1
10077,1973,2024-01-25,Cancelled,115.5
10078,1113,2024-06-08,Delivered,87.55
10079,1229,2024-03-24,Delivered,108.13
10080,1171,2024-04-23,Shipped,62.57
10081,1295,2024-08-10,Delivered,96.02
10082,1189,2024-06-14,Delivered,103.52
10083,1426,2024-07-09,Delivered,89.64
10084,1977,2024-06-23,Delivered,68.32
10085,2103,2024-01-01,Delivered,80.72
10086,1658,2024-08-16,Shipped,88.55
10087,1919,2024-03-26,Delivered,41.57
10088,2206,2024-03-02,Pending,100.01
10089,1499,2024-11-15,Delivered,114.78
10090,2822,2024-07-24,Delivered,63.85
10091,1762,2024-04-14,Pending,88.61
10092,1866,2024-11-13,Delivered,92.39
10093,1826,2024-10-17,Delivered,84.54
10094,2732,2024-09-06,Delivered,72.45
10095,2859,2024-01-13,Delivered,107.57
10096,1071,2024-06-11,Shipped,62.14
10097,1248,2024-02-12,Delivered,21.42
