product_id,product_name,category_id,unit_price,stock_qty
101,Product_101,10,407.49,506
102,Product_102,16,412.11,992
103,Product_103,15,316.71,117
104,Product_104,15,412.01,118
105,Product_105,19,329.23,226
106,Product_106,12,111.28,682
107,Product_107,23,144.24,951
108,Product_108,20,115.15,835
109,Product_109,25,194.86,648
110,Product_110,3,29.09,901
111,Product_111,5,312.94,268
112,Product_112,19,174.91,929
113,Product_113,7,331.3,59
114,Product_114,21,198.84,875
115,Product_115,9,343.99,647
116,Product_116,7,176.91,804
117,Product_117,18,137.74,782
118,Product_118,4,253.06,462
119,Product_119,25,349.52,983
120,Product_120,14,180.68,882
121,Product_121,18,468.96,166
122,Product_122,9,29.2,384
123,Product_123,21,214.79,997
124,Product_124,2,484.11,91
125,Product_125,20,278.51,59
126,Product_126,15,217.5,480
127,Product_127,7,288.57,804
128,Product_128,12,292.2,182
129,Product_129,8,368.51,395
130,Product_130,15,72.57,353
131,Product_131,3,132.51,12
132,Product_132,14,294.47,837
133,Product_133,17,434.89,317
134,Product_134,4,285.31,763
135,Product_135,18,126.91,839
136,Product_136,8,343.12,988
137,Product_137,4,372.56,987
138,Product_138,2,126.74,447
139,Product_139,6,195.09,771
140,Product_140,22,271.82,332
141,Product_141,10,253.31,58
142,Product_142,4,200.91,765
143,Product_143,22,155.84,243
144,Product_144,18,58.99,233
145,Product_145,12,36.21,583
146,Product_146,2,479.69,55
147,Product_147,10,425.1,613
148,Product_148,4,183.9,608
149,Product_149,14,478.83,268
150,Product_150,16,341.62,422
151,Product_151,15,246.44,807
152,Product_152,8,251.58,100
153,Product_153,14,50.81,92
154,Product_154,23,54.94,82
155,Product_155,25,305.2,292
156,Product_156,8,281.31,124
157,Product_157,21,114.24,818
158,Product_158,16,473.64,495
159,Product_159,13,392.84,916
160,Product_160,18,65.6,456
161,Product_161,15,466.16,504
162,Product_162,21,487.38,169
163,Product_163,24,498.01,186
164,Product_164,25,37.38,473
165,Product_165,13,371.15,914
166,Product_166,9,277.5,739
167,Product_167,15,355.86,827
168,Product_168,13,484.64,948
169,Product_169,1,347.13,982
170,Product_170,25,420.11,11
171,Product_171,7,434.77,334
172,Product_172,9,420.86,779
173,Product_173,24,218.78,677
174,Product_174,1,119.06,155
175,Product_175,12,204.36,89
176,Product_176,8,447.03,151
177,Product_177,24,81.84,628
178,Product_178,11,261.53,385
179,Product_179,19,124.28,919
180,Product_180,17,294.84,552
181,Product_181,8,432.94,289
182,Product_182,3,441.38,704
183,Product_183,3,125.98,86
184,Product_184,1,454.77,518
185,Product_185,5,300.03,901
186,Product_186,10,181.61,819
187,Product_187,7,357.01,713
188,Product_188,9,246.02,920
189,Product_189,7,195.21,527
190,Product_190,9,355.49,750
191,Product_191,8,131.87,390
192,Product_192,12,171.82,711
193,Product_193,2,222.88,475
194,Product_194,1,134.3,123
195,Product_195,16,208.55,400
196,Product_196,23,290.02,536
197,Product_197,23,373.08,265
198,Product_198,24,385.93,809
199,Product_199,5,413.17,938
200,Product_200,3,374.66,260
201,Product_201,12,343.71,738
202,Product_202,8,126.38,909
203,Product_203,22,206.11,230
204,Product_204,3,244.08,57
205,Product_205,1,50.62,944
206,Product_206,3,268.9,871
207,Product_207,5,223.8,504
208,Product_208,15,403.03,510
209,Product_209,14,489.17,858
210,Product_210,3,282.44,368
211,Product_211,1,168.12,284
212,Product_212,5,31.27,597
213,Product_213,23,463.08,718
214,Product_214,14,460.37,162
215,Product_215,7,133.97,636
216,Product_216,9,350.75,63
217,Product_217,15,46.96,731
218,Product_218,15,91.45,132
219,Product_219,10,116.24,740
220,Product_220,13,154.3,725
221,Product_221,19,497.96,886
222,Product_222,7,351.49,119
